,course_title,is_paid,price,num_subscribers,num_reviews,num_lectures,level,content_duration,subject
446,Beginners Guide To Ichimoku Trading,True,20.0,265,16.0,17,All Levels,1.0,Business Finance
447,Financial Management - Ratio Analysis,True,20.0,2046,9.0,72,Beginner Level,5.5,Business Finance
448,ALGOTECH Hedge Fund Method for Stock Market Trading,True,20.0,605,19.0,4,All Levels,0.316666667,Business Finance
449,Futures/Commodity Trading,True,50.0,472,34.0,23,All Levels,5.5,Business Finance
450,Complete Claritas Investment Certificate,True,50.0,388,56.0,35,All Levels,11.5,Business Finance
451,Introduction to the economics of public services regulation,True,80.0,98,35.0,69,Intermediate Level,8.0,Business Finance
452,Accounting Standard 3 - An Analysis,True,25.0,1888,6.0,11,Intermediate Level,1.0,Business Finance
453,Essentials of money value: Get a financial Life !,True,20.0,0,0.0,20,All Levels,0.6166666670000001,Business Finance
454,Introduction to Forex Trading Business For Beginners,True,20.0,0,0.0,27,Beginner Level,1.5,Business Finance
455,Cryptocurrency (BTC & ETH) Investment & Trading Course 2017,True,20.0,0,0.0,7,Beginner Level,2.5,Business Finance
456,Introduction to Project Management for Finance and Acct'g,True,50.0,0,0.0,9,Beginner Level,2.0,Business Finance
457,Best Practices in Corporate Budgeting,True,50.0,0,0.0,9,Intermediate Level,2.0,Business Finance
458,Financial Statement Auditing Cycles,True,50.0,0,0.0,9,Intermediate Level,2.0,Business Finance
459,Case studies on credit appraisal for bankers,True,20.0,0,0.0,15,Beginner Level,3.5,Business Finance
460,Building a Balanced Scorecard,True,50.0,0,0.0,11,Intermediate Level,2.0,Business Finance
461,Options Trading Foundation: Your journey to competency...,True,95.0,0,0.0,5,Intermediate Level,1.0,Business Finance
462,Forex how traders beat the markest with little experience,True,100.0,0,0.0,16,All Levels,1.0,Business Finance
463,CFA Level 2- Quantitative Methods,True,40.0,0,0.0,35,All Levels,5.5,Business Finance
464,Foundations of Investing,True,40.0,0,0.0,18,Beginner Level,2.0,Business Finance
465,Capital Market Road Map,True,50.0,495,47.0,21,All Levels,4.0,Business Finance
466,TRADING: 5K CHALLENGE,True,55.0,375,10.0,19,Intermediate Level,1.0,Business Finance
467,CurrencyFair - Avoid Bank Charges when converting currencies,False,0.0,1730,34.0,11,All Levels,0.666666667,Business Finance
468,Bitcoin - A Comprehensive Guide,True,20.0,283,13.0,35,All Levels,2.5,Business Finance
469,Forex Trading,True,95.0,136,14.0,25,All Levels,4.5,Business Finance
470,"The True ' Secret Sauce  For Stock Market Success""",True,200.0,23,2.0,30,All Levels,3.0,Business Finance
471,Bookkeeping to Command Senior Bookkeeping Wages,True,55.0,683,16.0,58,All Levels,4.5,Business Finance
472,Take Your Career to the Next Level with MBA Finance,True,50.0,618,10.0,19,All Levels,2.0,Business Finance
473,How to Read Financial Statements:  Build Financial Literacy.,True,25.0,188,10.0,20,Beginner Level,1.5,Business Finance
474,Accounting Books of Accounts (College Level),True,20.0,911,2.0,18,All Levels,1.5,Business Finance
475,Forex Trading Profitably,True,20.0,512,13.0,15,All Levels,0.666666667,Business Finance
476,Learn How to Trade Pump and Dumps. 5 Setups Well Explained.,True,50.0,769,10.0,18,All Levels,2.0,Business Finance
477,Bitcoin Trading 101,True,95.0,302,6.0,19,All Levels,2.0,Business Finance
478,Visualizing Data,True,40.0,149,2.0,63,Intermediate Level,6.5,Business Finance
479,IFRS Financial Reporting,True,55.0,72,9.0,15,All Levels,3.5,Business Finance
480,Forex Trading System: Correlation EUR/GBP vs GBP/USD,True,50.0,33,4.0,26,Intermediate Level,1.0,Business Finance
481,"SAP Crystal Reports:Master-Detail,Cross-Tab,Sub-Reports",True,50.0,13,1.0,9,All Levels,2.0,Business Finance
482,Learn Financial Accounting Different,True,20.0,79,1.0,58,All Levels,6.0,Business Finance
483,CFA Level I Workshop 4: Fixed Income and Equity,True,20.0,139,3.0,6,All Levels,1.5,Business Finance
484,"IAS37 - Provisions, Contingents Liabilities & Assets",False,0.0,2247,53.0,29,All Levels,4.0,Business Finance
485,What You Should Know to Become a Trader,True,125.0,17,2.0,14,All Levels,1.5,Business Finance
486,Financial Reporting A Comprehensive Study,True,50.0,45,1.0,72,All Levels,8.0,Business Finance
487,An Abundance Mindset: How to Craft Yours,True,50.0,33,4.0,40,Beginner Level,4.5,Business Finance
488,Forex Trading Profit 183%p.a : Trend is Our Friend-ALGOTREND,True,120.0,54,11.0,12,All Levels,0.6,Business Finance
489,How to Build a Massive Retirement Plan from Scratch!,True,200.0,1498,30.0,23,Beginner Level,2.0,Business Finance
490,Financial modeling: Build a forward looking financial model,True,20.0,2317,44.0,22,All Levels,2.0,Business Finance
491,Trading for Beginners - Entry Level,False,0.0,5077,256.0,16,Beginner Level,1.5,Business Finance
492,Bitcoin or How I Learned to Stop Worrying and Love Crypto,False,0.0,65576,936.0,24,All Levels,8.0,Business Finance
493,Trend Following Stocks: A Complete Trading System,True,95.0,1202,76.0,64,Expert Level,3.5,Business Finance
494,Forex Basics,False,0.0,22344,712.0,26,Beginner Level,3.5,Business Finance
495,Accounting Bank Reconciliation Statement (College Level),True,20.0,2189,4.0,16,All Levels,1.5,Business Finance
496,Bitcoin - Ethereum: Trading -Watch me manage my own account!,True,165.0,431,58.0,22,All Levels,2.5,Business Finance
497,FOREX : Learn Technical Analysis,True,200.0,1199,37.0,79,All Levels,18.0,Business Finance
498,FastTrack to Stock Trading Strategies,True,25.0,5685,5.0,12,All Levels,3.5,Business Finance
499,Algorithmic futures trading - Investing with no experience,True,195.0,1512,23.0,19,All Levels,1.5,Business Finance
500,Succeed in Forex Even if You Don't Know Where to Start!,True,200.0,1806,38.0,211,Beginner Level,19.5,Business Finance
501,Hedge Fund Accounting and Valuation,True,20.0,668,10.0,11,All Levels,0.566666667,Business Finance
502,"Binary, Forex, Stock and Bitcoin Trading Strategy",False,0.0,3757,70.0,14,All Levels,0.6166666670000001,Business Finance
503,2 Easy Steps To Investment And Avoiding Traps,True,20.0,828,1.0,20,All Levels,1.0,Business Finance
504,Ethereum Course for Investors,True,40.0,111,20.0,11,All Levels,1.0,Business Finance
505,Using Xero for your bookkeeping needs  do beautiful business,True,95.0,39,6.0,28,Beginner Level,1.0,Business Finance
506,Capital Market Immersion,True,195.0,613,33.0,142,All Levels,24.5,Business Finance
507,Forex Trading :RSI Indicator-A Secret Weapon,True,95.0,57,13.0,14,All Levels,1.5,Business Finance
508,"Trading Mindset, and Three Steps To Profitable Trading",True,20.0,246,8.0,24,Beginner Level,1.5,Business Finance
509,Professional Bookkeeping & Accounting 4:Trial Balance & More,True,35.0,83,8.0,21,All Levels,1.0,Business Finance
510,"Internal Controls - Design, Implementation and Monitoring",True,195.0,62,6.0,27,Beginner Level,6.5,Business Finance
511,Forex online live trading system (Special Offer),True,200.0,31,8.0,34,All Levels,5.5,Business Finance
512,Winning Options Trading System,True,105.0,367,11.0,24,All Levels,7.5,Business Finance
513,Learn The ABC's Of Investing And Understanding True Financial Value,True,20.0,3,0.0,8,All Levels,1.5,Business Finance
514,How to invest in Russian equity market,True,30.0,3,0.0,12,Intermediate Level,1.5,Business Finance
515,Handle difficult questions the bank manager will ask you,True,20.0,2,0.0,12,All Levels,1.0,Business Finance
516,Credit Control Procedures,True,20.0,3,0.0,6,All Levels,0.566666667,Business Finance
517,FMT: Forex Market Trader Certificate,True,20.0,1,0.0,27,All Levels,2.0,Business Finance
518,Six Stage Negotiation,True,30.0,1,0.0,21,All Levels,2.5,Business Finance
519,Financial Reporting - Fundamentals/Basics,True,20.0,2,0.0,28,Beginner Level,2.5,Business Finance
520,Decide whether to Invest in a Business ,True,20.0,1,0.0,43,Beginner Level,1.0,Business Finance
521,UK Tax Returns with HMRC,True,40.0,2,0.0,11,Beginner Level,1.0,Business Finance
522,Financial Market Environment & Investment Strategies,True,105.0,1,0.0,25,All Levels,1.5,Business Finance
523,How to Obtain a Business Loan,True,20.0,1,1.0,12,All Levels,0.566666667,Business Finance
524,Evolution and Features of ETFs,True,100.0,0,0.0,10,All Levels,0.716666667,Business Finance
525,Cost Accounting Operating Costing(Professional Course Level),True,20.0,731,2.0,8,All Levels,1.0,Business Finance
526,Trade RSI Breakout Strategy: Great Risk/Reward Ratio (Forex),True,200.0,66,12.0,19,All Levels,2.0,Business Finance
527,"Day trading strategy for all level, with 72% success rate",True,95.0,51,9.0,15,All Levels,0.533333333,Business Finance
528,"Accounting, Finance and Banking - A Comprehensive Study",True,180.0,507,36.0,395,All Levels,33.0,Business Finance
529,Advanced Technical Analysis PART1!,True,100.0,9,1.0,19,Intermediate Level,3.0,Business Finance
530,Advanced Financial Management for CA / CS / CFA /CPA Exams,True,150.0,375,15.0,194,All Levels,24.5,Business Finance
531,Learn the Foundations of Stocks and Options,True,50.0,80,18.0,63,Beginner Level,7.5,Business Finance
532,Forex Trading Masterclass - Learn To Trade Better,True,200.0,152,7.0,30,All Levels,3.0,Business Finance
533,Introduction to Accounting - Analyzing Financial Statements,True,60.0,37,15.0,12,Intermediate Level,1.0,Business Finance
534,Credit Risk Analysis,True,20.0,194,24.0,19,Intermediate Level,3.5,Business Finance
535,Fund Flow Analysis for CA / CFA / CPA Exams,True,25.0,1184,2.0,7,Intermediate Level,1.5,Business Finance
536,Python for Trading & Investing,True,95.0,638,25.0,36,All Levels,5.0,Business Finance
537,Stocks For Beginners - A Guide To Investing,True,20.0,64,15.0,14,Beginner Level,1.0,Business Finance
538,Intro to Impact Investing,True,200.0,44,4.0,12,Beginner Level,0.533333333,Business Finance
539,Stock Market - Swing Trading Strategies for Wall Street,True,50.0,814,9.0,5,All Levels,1.0,Business Finance
540,Essential Options: Strategies for Mastering the Stock Market,True,50.0,211,9.0,27,Intermediate Level,5.0,Business Finance
541,The Day Trader: Learn to Trade The Stock Market and Forex,True,20.0,768,23.0,54,All Levels,10.5,Business Finance
542,Introduction To The World Of Equity Finance,True,20.0,29,9.0,32,All Levels,2.0,Business Finance
543,Stock Technical Analysis with Excel,True,50.0,156,16.0,41,All Levels,7.0,Business Finance
544,Beginners Forex strategy,False,0.0,2144,47.0,20,Beginner Level,1.0,Business Finance
545,Mortgage Backed Securities,True,50.0,376,29.0,21,All Levels,3.5,Business Finance
546,The Complete Financial Model Builder Course-Build 7 Models,True,75.0,214,20.0,88,All Levels,9.0,Business Finance
547,Fundamental Financial Math,True,50.0,406,13.0,15,All Levels,2.5,Business Finance
548,Equity Swaps,True,50.0,394,25.0,18,All Levels,3.0,Business Finance
549,Proven Methods In Trading Candlestick Patterns,True,75.0,438,10.0,22,All Levels,1.5,Business Finance
550,Read financial statements as a stock investor,True,20.0,56,8.0,18,Beginner Level,2.0,Business Finance
551,Investing: How to Fix Hidden Flaws Inside Your Portfolio,True,195.0,58,8.0,14,All Levels,1.0,Business Finance
552,Certificate Program in Financial Accounting,True,50.0,1047,3.0,20,All Levels,4.5,Business Finance
553,Trading Biotech Stocks - Understanding the Healthcare Sector,True,55.0,166,17.0,16,All Levels,1.5,Business Finance
554,Indian Contract Act 1872: Must for all Finance Professionals,True,20.0,605,3.0,14,All Levels,1.0,Business Finance
555,Fundraising Success: The Art & Science of Major Gifts,True,50.0,38,9.0,25,Intermediate Level,2.5,Business Finance
556,Smart Trading Techniques for Safe & Consistent Weekly Result,True,100.0,46,11.0,24,Intermediate Level,2.5,Business Finance
557,Technical Trading and Investing Made Easy,True,40.0,217,7.0,27,Intermediate Level,1.5,Business Finance
558,Budgeting for Business,True,40.0,78,22.0,25,All Levels,2.5,Business Finance
559,Complete Guide to Business Loans,True,30.0,35,4.0,35,Beginner Level,1.5,Business Finance
560,Hot Trading Investing Strategy: ETF and Futures,True,50.0,80,10.0,13,All Levels,2.5,Business Finance
561,Financial Management - A Complete Study,True,190.0,1941,128.0,527,All Levels,71.5,Business Finance
562,MQL4 Programming for Traders: Build Robust Trading Robots!,True,195.0,1367,33.0,74,All Levels,7.0,Business Finance
563,Ultimate Stock Market Investing: Learn How to Value Stocks,True,50.0,1519,40.0,46,All Levels,3.5,Business Finance
564,Collection of Advanced Options concepts for Options traders,True,40.0,2025,34.0,9,Expert Level,1.0,Business Finance
565,No Bull Investing: Investing 101 For Financial Freedom,True,100.0,1213,12.0,25,Beginner Level,6.5,Business Finance
566,Financial Modeling - Build Your Own 3 Statement Projection,True,20.0,1092,48.0,13,Beginner Level,1.0,Business Finance
567,Small Business Owners: Drive a Productive Business and Grow,True,20.0,5099,2.0,15,Beginner Level,3.0,Business Finance
568,Successful Day Trading with Fibonacci,True,200.0,869,135.0,11,All Levels,2.0,Business Finance
569,Short Straddles - Exploit Earnings Option Volatility Crush,True,60.0,59,8.0,7,Expert Level,0.583333333,Business Finance
570,Bitcoin For Beginners: Your Quick Start Guide To Bitcoin,False,0.0,10670,444.0,15,All Levels,1.0,Business Finance
571,Technical Analysis 101: Ten Primary Candlestick Reversals,True,95.0,1741,85.0,84,All Levels,7.0,Business Finance
572,Financial Analysis:  A Recipe for Success,False,0.0,19614,635.0,14,All Levels,1.5,Business Finance
573,"Basics of Fixed Income Valuation, CFA Level I 2017 Prep",True,20.0,4,0.0,14,Beginner Level,3.5,Business Finance
574,Intro to Financial Statement Audits,True,50.0,1,0.0,9,Intermediate Level,1.5,Business Finance
575,"How to Get Growing, Passive Income from the Fortune 500!",True,25.0,4,0.0,12,All Levels,1.0,Business Finance
576,Managing Budgets in the Public and Non Profit Sector,True,95.0,4,0.0,20,All Levels,2.0,Business Finance
577,System of Asset Management for Professionals (SAMP),True,50.0,8,1.0,8,Expert Level,1.0,Business Finance
578,How to invest in Forex Trading & add an additional income,True,50.0,8,2.0,14,All Levels,2.0,Business Finance
579,Tax made simple for Limited Company Owners and Contractors,True,50.0,11,0.0,57,All Levels,3.0,Business Finance
580,Introduction to the 8 Pillars for Accountants,True,20.0,18,0.0,33,Beginner Level,0.6166666670000001,Business Finance
581,FX Trading for Beginners,True,20.0,16,0.0,22,All Levels,1.5,Business Finance
582,Write a Successful Business Grant Proposal,True,20.0,6,0.0,23,Beginner Level,2.5,Business Finance
583,A Guide To Trade Binary Options Like An Expert,True,55.0,4,0.0,21,All Levels,1.0,Business Finance
584,Ratio analysis for bankers and credit analysts,True,20.0,1,0.0,13,Beginner Level,3.0,Business Finance
585,Numbers for the  Business Plan,True,20.0,210,1.0,12,All Levels,1.5,Business Finance
586,Dash Crypto Currency Technical and Trading Overview Bootcamp,True,20.0,4,1.0,14,All Levels,1.0,Business Finance
587,1 - Concepts of Statistics For Beginners Step by Step,True,200.0,273,4.0,15,Beginner Level,0.5166666670000001,Business Finance
588,4. Ordinary Simple Annuities: The Basics,True,20.0,237,1.0,17,All Levels,1.5,Business Finance
589,الدروس التعليمية لسوق الفوركس والأسواق المالية الأخرى,False,0.0,368,3.0,69,All Levels,20.5,Business Finance
590,Financial Risk Manager (FRM) Certification: Level II,True,50.0,86,7.0,87,All Levels,47.0,Business Finance
591,Level 1 2014 CFA® Program – Corporate Finance,True,40.0,204,1.0,18,All Levels,3.0,Business Finance
592,3. Compound Interest ,True,20.0,570,2.0,21,All Levels,2.0,Business Finance
593,8. Amortization Schedules,True,20.0,225,1.0,5,All Levels,1.0,Business Finance
594,Finance Fundamentals for Non Finance Leaders,True,20.0,37,7.0,15,All Levels,1.0,Business Finance
595,Strategy layout and Backtesting,True,200.0,36,2.0,24,Expert Level,4.0,Business Finance
596,Easy Forex and Futures Trading,True,100.0,218,5.0,66,All Levels,14.5,Business Finance
597,Finanzas y Análisis Financiero: Manejo Seguro de Negocios,True,20.0,50,18.0,13,Beginner Level,1.5,Business Finance
598,Aprende a hacer paper trading (simulación) con Ninja Trader,True,25.0,148,3.0,15,Beginner Level,1.5,Business Finance
599,Trading mit kleinen Konten - Grundlagen die du kennen musst,True,80.0,74,4.0,20,Beginner Level,3.5,Business Finance
600,entiende la contabilidad y consigue un aumento de salario,True,20.0,260,18.0,17,Beginner Level,1.5,Business Finance
601,Trade for Profit: Find-Trade Stocks Successfully Arabic عربي,True,95.0,299,5.0,65,All Levels,2.5,Business Finance
602,Trading Forex  - L'analyse des volumes,True,70.0,4,3.0,13,All Levels,2.0,Business Finance
603,Disminuye deudas en tu hogar en menos de 30 días,True,20.0,65,3.0,15,Beginner Level,1.5,Business Finance
604,CPA 10 COMPLETO,True,25.0,101,25.0,18,All Levels,5.0,Business Finance
605,Trading Intradiario basado en Precio y Volumen,True,40.0,92,15.0,19,Intermediate Level,1.5,Business Finance
606,Aprenda Cálculo Financeiro de Forma Simples,True,20.0,76,14.0,21,All Levels,2.0,Business Finance
607,Wie funktionieren Bitcoin? Ein Einführungskurs.,True,20.0,14,4.0,14,Beginner Level,0.6166666670000001,Business Finance
608,Estruturação Financeira,True,45.0,18,3.0,18,All Levels,3.5,Business Finance
609,Five steps to becoming a winner in stock investing,True,20.0,21,1.0,28,All Levels,3.0,Business Finance
610,Financial Accounting Plus Excel and SAP Crash Course.,True,20.0,18,2.0,11,Beginner Level,1.0,Business Finance
611,Introduction to Financial Consolidation under IFRS,True,25.0,21,3.0,8,All Levels,1.5,Business Finance
612,How to read a Profit & Loss Account and Balance Sheet,True,20.0,49,10.0,13,All Levels,2.0,Business Finance
613,Learn Bookkeeping From Scratch,True,20.0,168,2.0,21,All Levels,3.0,Business Finance
614,ACCA MA1 Management Information,True,50.0,16,1.0,48,Beginner Level,3.5,Business Finance
615,Introduction to Bitcoin for Beginners,True,20.0,2,1.0,7,Beginner Level,0.566666667,Business Finance
616,Stock Trading: Ultimate Guide to swing trading stocks,True,200.0,336,6.0,13,All Levels,0.683333333,Business Finance
617,Bookkeeping Systems,True,20.0,20,1.0,9,All Levels,1.0,Business Finance
618,Precious Metal Equities,True,20.0,28,1.0,8,All Levels,1.0,Business Finance
619,Start Now: A Rescue Plan for Retirement Late Savers,True,150.0,11,1.0,15,All Levels,0.65,Business Finance
620,Eu Funding: Module 2 - Introduction to Horizon 2020,True,20.0,11,1.0,6,Intermediate Level,1.0,Business Finance
621,How I Make Money Writing About Stocks Online,True,195.0,360,24.0,12,Beginner Level,2.5,Business Finance
622,Tradeonomics - Four Steps to Mastering Economic Indicators,True,20.0,1189,13.0,41,All Levels,4.0,Business Finance
623,Improve Your Financial Literacy,False,0.0,9995,96.0,10,All Levels,2.0,Business Finance
624,Forex Trading : Power Of Moving Averages,True,200.0,100,24.0,33,All Levels,4.0,Business Finance
625,Demystifying Your Personal Tax Return,False,0.0,3426,27.0,14,Beginner Level,1.0,Business Finance
626,Samuel and Co Trading - Stock & Forex Trading,True,50.0,592,109.0,24,All Levels,5.5,Business Finance
627,Accounting Department's Tips & Tricks - Beginner to Advanced,True,95.0,1222,14.0,61,All Levels,6.0,Business Finance
628,Certificate Program In Management Accounting,True,50.0,1532,7.0,24,All Levels,6.0,Business Finance
629,How I Trade Forex Successfully,False,0.0,5768,109.0,12,All Levels,1.5,Business Finance
630,Professional Trading With Institutional Supply & Demand,True,200.0,343,84.0,37,All Levels,5.5,Business Finance
631,Master Calendar Spreads with this live trade on Gold (GLD),True,60.0,540,44.0,6,Expert Level,1.0,Business Finance
632,Accounting 101: Guide to Business Accounting,True,50.0,2031,15.0,29,Beginner Level,14.5,Business Finance
633,An Introduction to Financial Markets on Wall Street,True,30.0,7,1.0,29,All Levels,2.0,Business Finance
634,Win 90% of Trades; Quantitative Investments Models in Excel,True,200.0,4,1.0,16,Beginner Level,1.5,Business Finance
635,The Forex Pivot Points Trading Strategy,True,20.0,21,2.0,12,All Levels,2.0,Business Finance
636,Your Business by the Numbers,True,25.0,29,2.0,42,All Levels,3.0,Business Finance
637,Forex - Trade Gartley with Precision - Complete Strategy,True,20.0,50,1.0,23,All Levels,1.5,Business Finance
638,Bitcoin & Ethereum Course (2 Course Bundle),True,200.0,1,0.0,52,All Levels,2.5,Business Finance
639,Create Trading Robot Without Coding Skills!,True,145.0,5,0.0,13,All Levels,1.0,Business Finance
640,Accounting and the Triple Bottom Line,True,30.0,6,2.0,19,Intermediate Level,0.55,Business Finance
641,MQL5 - Beginner To Expert,True,45.0,16,1.0,16,Beginner Level,1.5,Business Finance
642,How to be A High Performance Insurance Broker Part 2,True,40.0,70,3.0,15,All Levels,2.0,Business Finance
643,"CFA Level I Workshop 5: Corp Finance, Quants II & Derivative",True,20.0,110,1.0,5,All Levels,1.0,Business Finance
644,Xero Bookkeeping Course & Certification by Accounting Firm,True,20.0,7,3.0,15,Beginner Level,2.0,Business Finance
645,Trading News Using Binary Options,True,145.0,1186,16.0,22,All Levels,1.5,Business Finance
646,Trading Trends in ANY Market,True,30.0,632,49.0,22,All Levels,2.0,Business Finance
647,Financial Statements Analysis: Learn to Invest Like a Pro!,True,50.0,1237,54.0,35,Beginner Level,2.5,Business Finance
648,Contango VXX - ETF Options Trading - Double Your Investment,True,200.0,513,20.0,20,All Levels,1.0,Business Finance
649,Mergers and Acquisitions M&A Essentials You Need to Know,True,95.0,4103,19.0,15,Beginner Level,1.0,Business Finance
650,TRADING MARKET MAP,True,45.0,1489,32.0,27,All Levels,3.5,Business Finance
651,How To Confidently Join The Bitcoin Revolution,True,45.0,547,98.0,53,Beginner Level,7.0,Business Finance
652,High Probability Trading Across Any Market: Stocks & Forex,True,95.0,353,27.0,105,All Levels,18.5,Business Finance
653,Option Trading for Rookies: Make & Manage Profitable Trades,True,95.0,507,19.0,59,All Levels,2.0,Business Finance
654,Your First Successful Forex Trades - With Case Studies,True,200.0,1079,34.0,16,All Levels,2.5,Business Finance
655,MCA Accountancy and Financial Management -Paper MCS 35 IGNOU,True,180.0,3667,4.0,460,All Levels,43.5,Business Finance
656,"High-Frequency Trading #1: Basics, History & Strategies",True,50.0,2222,24.0,11,All Levels,0.6,Business Finance
657,Financial Accounting - The Ultimate Beginner Course,True,100.0,9,2.0,101,Beginner Level,10.0,Business Finance
658,Level 1 2014 CFA® Program – Derivatives,True,40.0,225,2.0,17,All Levels,2.5,Business Finance
659,The Complete Investing Guide: How to Beat Wall Street,True,50.0,13,3.0,25,All Levels,5.5,Business Finance
660,"Bitcoins - Past, Present, Future",True,20.0,373,3.0,14,Beginner Level,1.5,Business Finance
661,Learn Accounting by Specific Examples - Part 1,True,50.0,306,0.0,5,All Levels,0.6333333329999999,Business Finance
662,Forex: Presentation and  Analysis (Fundamental & Technical),True,50.0,14,3.0,22,Beginner Level,1.5,Business Finance
663,Year-end QuickBooks Procedures,True,20.0,51,2.0,10,Beginner Level,2.0,Business Finance
664,Price Action Gap Trading Strategies,True,20.0,13,2.0,5,Intermediate Level,1.0,Business Finance
665,How to start a successful career in finance?,False,0.0,1318,7.0,27,All Levels,2.0,Business Finance
666,Level 1 2014 CFA® Program – Equity Investments,True,40.0,347,0.0,24,All Levels,4.5,Business Finance
667,Wealth Management,True,30.0,274,1.0,21,All Levels,3.5,Business Finance
668,Basics of Private Equity,True,60.0,9,2.0,6,Intermediate Level,0.666666667,Business Finance
669,Curso Completo del Mercado FOREX,True,200.0,359,86.0,50,All Levels,5.5,Business Finance
670,Como Investir em Ações para Iniciantes,False,0.0,6024,890.0,18,All Levels,1.0,Business Finance
671,Robots de Forex: espere ganar 175%p.a! Incluye Robot de Fx! ,True,130.0,315,49.0,41,All Levels,5.0,Business Finance
672,６時間でインターバンク市場を攻略！最短距離でトレード基礎力,True,35.0,280,40.0,54,All Levels,4.0,Business Finance
673,Matemática Financeira de um jeito fácil,True,95.0,401,67.0,20,All Levels,1.5,Business Finance
674,ビットコイン生態系｜既存通貨が主役をやめる日,True,20.0,701,55.0,16,Beginner Level,1.5,Business Finance
675,Trading Forex - Trader avec les figures harmoniques,True,90.0,57,11.0,23,Beginner Level,2.0,Business Finance
676,Введение в Финансовую Инженерию,True,50.0,205,20.0,20,Beginner Level,5.0,Business Finance
677,Aprenda a Investir no Tesouro Direto Passo a Passo,True,35.0,62,10.0,19,All Levels,1.0,Business Finance
678,資産運用の基礎を学ぶファイナンス入門,True,20.0,114,13.0,52,Beginner Level,4.0,Business Finance
679,Aprende a invertir y deja que tu dinero trabaje para ti,True,145.0,789,68.0,95,All Levels,14.0,Business Finance
680,Buchführung lernen leicht gemacht,True,40.0,446,39.0,70,Beginner Level,5.0,Business Finance
681,Day Trading: High ROI Day Trading ,True,150.0,17,2.0,51,Intermediate Level,6.5,Business Finance
682,Flow Management and Forecasting,True,20.0,16,2.0,10,All Levels,1.0,Business Finance
683,An Introduction to Management of Portfolios (MoP),True,20.0,117,15.0,6,Beginner Level,1.5,Business Finance
684,CFA Level I Workshop 1: Ethics and Quantitative Methods,True,20.0,147,4.0,5,All Levels,1.0,Business Finance
685,Accounting Basics 101 for Understanding Business,True,20.0,7,2.0,18,All Levels,1.0,Business Finance
686,Mortgage Acceleration,True,20.0,247,2.0,17,All Levels,1.5,Business Finance
687,Stock Market for Beginners. Learn to trade,True,35.0,143,15.0,42,All Levels,3.5,Business Finance
688,CFA Corporate Finance Level 1 (Part 1),True,180.0,621,1.0,107,All Levels,14.5,Business Finance
689,Trading Tips from Hedge Fund Manager,True,50.0,6,2.0,32,All Levels,1.0,Business Finance
690,Effective Debt Collection Strategies,True,40.0,5,2.0,16,Intermediate Level,1.5,Business Finance
691,IAS 1-Presentation of Financial Statements ,False,0.0,2674,81.0,8,All Levels,1.0,Business Finance
692,Stock Trading Strategies Using a D.A.R.T.,True,20.0,227,3.0,5,All Levels,1.0,Business Finance
693,Capital Structuring Techiques for CA / CFA / CPA Exams,True,125.0,4480,12.0,50,Intermediate Level,7.0,Business Finance
694,The Complete Guide to Forex Trading,True,20.0,1329,12.0,33,All Levels,5.0,Business Finance
695,Learn How to Trade Binary Options Professionally,False,0.0,5144,169.0,7,All Levels,1.0,Business Finance
696,Learn How to Start Small and Make It Big In Small-Cap Stocks,True,50.0,2635,13.0,29,Beginner Level,2.0,Business Finance
697,Trading strategies with common sense technical analysis,True,75.0,1750,71.0,29,All Levels,3.0,Business Finance
698,Startup Business: How To Raise Seed Capital,True,95.0,3360,12.0,34,All Levels,3.0,Business Finance
699,Business Economics - Basics (College Level),True,50.0,3425,10.0,50,All Levels,4.0,Business Finance
700,Technical Analysis 101: Master the Basics of Trading,True,95.0,2688,61.0,50,All Levels,2.0,Business Finance
701,Investing in Stocks? Master The Art of Covered Calls Selling,True,80.0,1095,17.0,35,All Levels,3.0,Business Finance
702,How to Trade Binary Options Effectively – All Levels,True,195.0,1680,39.0,17,All Levels,1.0,Business Finance
703,Stock Market: The Zero Risk Way of Investing,True,25.0,2046,14.0,8,Beginner Level,0.6333333329999999,Business Finance
704,Forex Trading using professional indicators by TOP traders,True,200.0,1699,40.0,28,All Levels,3.5,Business Finance
705,Corporate Finance 101: Equity Valuation,True,50.0,1071,14.0,50,All Levels,6.0,Business Finance
706,Trading Strategies: Find The Trading Strategy That Fits You,True,20.0,1037,3.0,12,All Levels,2.0,Business Finance
707,Forex Trading - Learn An Effective Forex Trading Strategy,True,95.0,223,34.0,16,All Levels,1.5,Business Finance
708,Navigate the 10-K and Other Financial Reports,True,40.0,653,55.0,20,All Levels,2.5,Business Finance
709,From 0 to 1: Investments and Portfolio Theory,True,50.0,230,0.0,22,Beginner Level,4.5,Business Finance
710,Bitcoin - The Complete Guide,True,20.0,2281,12.0,24,All Levels,5.5,Business Finance
711,Professional Trader's Mindset - Complete Forex Course,True,50.0,4702,17.0,6,All Levels,1.0,Business Finance
712,Bitcoin Peer Investing: How To Generate Double Digit Returns,True,25.0,366,45.0,41,All Levels,2.5,Business Finance
713,Forex Breakout Profits: The Definitive Guide,True,25.0,521,60.0,27,All Levels,2.5,Business Finance
714,Learn to Trade With Fibonacci Tools,True,30.0,252,45.0,30,Intermediate Level,4.0,Business Finance
715,"Investing Internationally into Real Estate, Stocks and Bonds",True,200.0,1101,14.0,37,All Levels,2.0,Business Finance
